truc,pair,dac_trung,lag,n,n_khop,F,he_so,dau,p_tiem_can,p_hoan_vi,p_wy,q_fdr
bien_do,GBPUSD,xuyen_tham,1,3050,62.0,0.2190701818147492,-0.028746717570974707,-1,0.6397827844133761,0.6353646353646354,1.0,0.9459523107165788
bien_do,GBPUSD,xuyen_tham,2,3050,62.0,0.4567401678246036,0.04150687100275191,1,0.49920270201911743,0.4775224775224775,1.0,0.9280492235037688
bien_do,GBPUSD,may_den,1,3050,59.0,4.6094296775962444,0.1350169370900223,1,0.0318753021429633,0.03196803196803197,1.0,0.46484128116781176
bien_do,GBPUSD,may_den,2,3050,59.0,1.3640934442582433,0.07349892582933551,1,0.24292068900200758,0.2547452547452547,1.0,0.8301858569238248
bien_do,GBPUSD,sao_mai,1,3050,189.0,2.40978106544229,-0.05578762626065359,-1,0.12068308231504354,0.1038961038961039,1.0,0.6702974444909929
bien_do,GBPUSD,sao_mai,2,3050,189.0,0.046333491457980665,-0.007738495713448123,-1,0.8295851338551363,0.8111888111888111,1.0,0.9785395327564003
bien_do,GBPUSD,sao_hom,1,3050,176.0,3.79286034682818,-0.0723455674709107,-1,0.051563352260484696,0.03596403596403597,1.0,0.46484128116781176
bien_do,GBPUSD,sao_hom,2,3050,176.0,3.3310950566780937,-0.06780761474323448,-1,0.06807945250435454,0.060939060939060936,1.0,0.5546692113856293
bien_do,GBPUSD,ba_linh_trang,1,3050,368.0,3.5051568220111484,-0.04979167598557726,-1,0.06127376525437578,0.12487512487512488,1.0,0.7192807192807193
bien_do,GBPUSD,ba_linh_trang,2,3050,368.0,2.8690118157412283,-0.04505741047348853,-1,0.0904025034862016,0.16983016983016982,1.0,0.7796399404791013
bien_do,GBPUSD,ba_qua_den,1,3050,401.0,0.11956274557480735,-0.00886932622485279,-1,0.7295330829023523,0.7942057942057942,1.0,0.9724968908642377
bien_do,GBPUSD,ba_qua_den,2,3050,401.0,1.7639536814763812,0.034059306397243,1,0.18423160567959795,0.26873126873126874,1.0,0.832003817078444
bien_do,GBPUSD,gap,1,3050,,1.7781526263261371,-13.705936531071329,-1,0.18247601300232652,0.1838161838161838,1.0,0.7796399404791013
bien_do,GBPUSD,gap,2,3050,,2.7409312374446166,-17.009632778118778,-1,0.09791073048904897,0.0989010989010989,1.0,0.6702974444909929
bien_do,GBPUSD,abs_gap,1,3050,,19.097862415655396,46.58960475516964,1,1.283333244206375e-05,0.000999000999000999,0.030969030969030968,0.06660006660006661
bien_do,GBPUSD,abs_gap,2,3050,,19.36404460130582,47.060226221151574,1,1.1172928079283828e-05,0.000999000999000999,0.028971028971028972,0.06660006660006661
bien_do,USDCAD,than,1,3050,,1.6635715477202828,0.04419323988703284,1,0.19721967458083556,0.16783216783216784,1.0,0.7796399404791013
bien_do,USDCAD,than,2,3050,,0.016837651396884656,-0.004448437326511238,-1,0.896764894531894,0.8831168831168831,1.0,0.9976667739605971
bien_do,USDCAD,bong_tren,1,3050,,0.19593079956255588,-0.018863420582726543,-1,0.6580570520977004,0.6623376623376623,1.0,0.9504780933352363
bien_do,USDCAD,bong_tren,2,3050,,7.991655552955148e-05,-0.0003810082964925375,-1,0.9928679066206131,0.988011988011988,1.0,0.9976667739605971
bien_do,USDCAD,bong_duoi,1,3050,,1.4843123529386988,-0.05447076620522329,-1,0.22319535600296914,0.23176823176823177,1.0,0.827743684886542
bien_do,USDCAD,bong_duoi,2,3050,,0.03192041262560113,0.007990406444114993,1,0.8582143219912437,0.8681318681318682,1.0,0.9976667739605971
bien_do,USDCAD,vi_tri_dong,1,3050,,5.39888633510519,0.06767133072544512,1,0.020215088337380505,0.01098901098901099,1.0,0.26373626373626374
bien_do,USDCAD,vi_tri_dong,2,3050,,5.114849676580274,0.06587141775237088,1,0.023792118327898515,0.026973026973026972,1.0,0.44955044955044954
bien_do,USDCAD,huong,1,3050,,6.7550491368889265,0.022723576062827034,1,0.00939335900218674,0.015984015984015984,0.993006993006993,0.34251462822891393
bien_do,USDCAD,huong,2,3050,,6.070743571665335,0.02154259317399031,1,0.013798757781319226,0.007992007992007992,0.998001998001998,0.2247752247752248
bien_do,USDCAD,lr_park,1,3050,,0.5179627423879185,0.011690487015495797,1,0.4717672112975859,0.44155844155844154,1.0,0.9280492235037688
bien_do,USDCAD,lr_park,2,3050,,2.752426866918221,0.026946415254800016,1,0.09720985038673402,0.07892107892107893,1.0,0.5994005994005994
bien_do,USDCAD,lr_gk,1,3050,,2.4451752620921853e-05,8.964528346874778e-05,1,0.9960549032827418,0.995004995004995,1.0,0.9976667739605971
bien_do,USDCAD,lr_gk,2,3050,,3.7014876601517184,0.03484525984519336,1,0.054457024784439256,0.060939060939060936,1.0,0.5546692113856293
bien_do,USDCAD,lr_rs,1,3050,,0.31269874056804414,-0.00846973995801997,-1,0.5760699297983983,0.5764235764235764,1.0,0.9313267377783506
bien_do,USDCAD,lr_rs,2,3050,,3.304478409011105,0.027502901899350264,1,0.06918943712840586,0.07492507492507493,1.0,0.5994005994005994
bien_do,USDCAD,doji,1,3050,144.0,0.9336035539749213,-0.039805495535303805,-1,0.3340049729301747,0.3336663336663337,1.0,0.8937491080348224
bien_do,USDCAD,doji,2,3050,144.0,0.06449359658520556,-0.010467349243686488,-1,0.7995467670130291,0.7872127872127872,1.0,0.9678845744419514
bien_do,USDCAD,bua,1,3050,96.0,3.487077024601347,-0.09340176741124705,-1,0.061945645313218445,0.056943056943056944,1.0,0.5546692113856293
bien_do,USDCAD,bua,2,3050,96.0,0.0011929017086255316,-0.0017283755986247603,-1,0.9724500768149975,0.9790209790209791,1.0,0.9976667739605971
bien_do,USDCAD,sao_bang,1,3050,144.0,1.1663076375433556,0.04448209221798032,1,0.28024669699434357,0.3116883116883117,1.0,0.8738924626775093
bien_do,USDCAD,sao_bang,2,3050,144.0,0.5180499683015666,0.029648126469613897,1,0.4717298999089268,0.46153846153846156,1.0,0.9280492235037688
bien_do,USDCAD,marubozu,1,3050,83.0,6.35581936300156,0.13525394679014213,1,0.011750323699622589,0.006993006993006993,0.996003996003996,0.2097902097902098
bien_do,USDCAD,marubozu,2,3050,83.0,0.7007813868078175,0.04498597854354038,1,0.402586912798519,0.40559440559440557,1.0,0.9280492235037688
bien_do,USDCAD,con_quay,1,3050,552.0,0.7797576701351505,-0.020040665371611317,-1,0.3772849247401916,0.34765234765234765,1.0,0.8939778170547402
bien_do,USDCAD,con_quay,2,3050,552.0,0.11074706362053745,0.007553691732146515,1,0.7393181062893048,0.7432567432567433,1.0,0.9657009657009658
bien_do,USDCAD,nhan_chim_tang,1,3050,221.0,0.23183037567260095,-0.01623019120327437,-1,0.6302045178482039,0.5924075924075924,1.0,0.9365634365634365
bien_do,USDCAD,nhan_chim_tang,2,3050,220.0,4.059464946539385,0.06804034658773052,1,0.04401209838773579,0.04595404595404595,1.0,0.52578999947421
bien_do,USDCAD,nhan_chim_giam,1,3050,221.0,0.7829460635039728,-0.02982784547694351,-1,0.3763114581192666,0.32867132867132864,1.0,0.892320349333924
