W,mau,dich,n,lift,z,p_tho,p_wy,p_wy_xoay,p_wy_k5,q_fdr
4,MEDIUM → MEDIUM → LOW → MEDIUM,MEDIUM,350,1.557692710657535,7.507958499395151,5.995204332975845e-14,1.0,0.001,1.0,1.9944442137424595e-13
4,HIGH → MEDIUM → HIGH → MEDIUM,LOW,251,0.31167197239749134,-7.473524317710718,7.815970093361102e-14,1.0,0.001,1.0,2.5746725013424806e-13
4,MEDIUM → MEDIUM → LOW → MEDIUM,HIGH,350,0.4463440902173489,-7.422138627819598,1.1524114995609125e-13,1.0,0.001,1.0,3.7593229500239477e-13
4,LOW → LOW → MEDIUM → MEDIUM,MEDIUM,369,1.5330906344510953,7.368975437864002,1.7186252421197423e-13,1.0,0.001,1.0,5.552481551463783e-13
4,MEDIUM → HIGH → MEDIUM → MEDIUM,LOW,408,0.4678440754292148,-7.3665157322914085,1.751931932858497e-13,1.0,0.001,1.0,5.606182185147191e-13
4,MEDIUM → MEDIUM → MEDIUM → LOW,LOW,468,1.4910440436756225,7.280086031369077,3.33510996597397e-13,1.0,0.001,1.0,1.057166932610617e-12
3,HIGH → MEDIUM → LOW,HIGH,248,0.3563662135512044,-7.2660376108794,3.701483564100272e-13,1.0,0.001,1.0,1.16233502573616e-12
2,HIGH → LOW,HIGH,364,0.4691576490049356,-7.263182317558031,3.781419621873283e-13,1.0,0.001,1.0,1.1764416601383549e-12
2,LOW → HIGH,MEDIUM,449,1.4761836631541505,7.257839383795965,3.9324099532223045e-13,1.0,0.001,1.0,1.212192425947426e-12
4,MEDIUM → MEDIUM → HIGH → MEDIUM,LOW,398,0.4795989516962805,-7.114966118970144,1.1193268534270828e-12,1.0,0.001,1.0,3.419034752286362e-12
4,LOW → HIGH → LOW → LOW,LOW,70,2.2351332877648664,7.0820010042726915,1.4208634269152753e-12,1.0,0.001,1.0,4.3009919949867796e-12
3,HIGH → HIGH → MEDIUM,MEDIUM,919,1.324006734847664,7.0666414423587804,1.5871748360041238e-12,1.0,0.001,1.0,4.761524508012371e-12
4,MEDIUM → LOW → MEDIUM → MEDIUM,MEDIUM,332,1.5362010312061776,7.030554187000676,2.057243264630415e-12,1.0,0.001,1.0,6.117112716069199e-12
3,MEDIUM → MEDIUM → HIGH,MEDIUM,880,1.326044226044226,6.958555772190553,3.4376945734493347e-12,1.0,0.001,1.0,1.0132152427008565e-11
2,MEDIUM → HIGH,MEDIUM,1810,1.2249588993196534,6.8841790411860435,5.8122395785176195e-12,1.0,0.001,1.0,1.6981847812016698e-11
4,MEDIUM → LOW → MEDIUM → MEDIUM,HIGH,332,0.48829982590838633,-6.680972837926822,2.3736124177275997e-11,1.0,0.001,1.0,6.875291141004082e-11
4,MEDIUM → MEDIUM → MEDIUM → MEDIUM,LOW,1051,0.6996754059701628,-6.6724510166643425,2.5156543514981422e-11,1.0,0.001,1.0,7.224443265840819e-11
3,LOW → HIGH → LOW,LOW,115,1.9052518108062109,6.6515484069337125,2.900257811688789e-11,1.0,0.001,1.0,8.25836122650367e-11
3,MEDIUM → MEDIUM → HIGH,HIGH,880,1.3122915839618896,6.641016879750848,3.115263602637697e-11,1.0,0.001,1.0,8.796038407447614e-11
3,LOW → LOW → HIGH,HIGH,236,0.41193518244393457,-6.476109248906476,9.41178246449681e-11,1.0,0.001,1.0,2.6352990900591066e-10
4,MEDIUM → MEDIUM → MEDIUM → HIGH,MEDIUM,453,1.4170422544078904,6.387369405041841,1.687636697056405e-10,1.0,0.001,1.0,4.686330001743405e-10
4,LOW → MEDIUM → MEDIUM → MEDIUM,MEDIUM,411,1.4334783009543675,6.3238439787523,2.5513524626319395e-10,1.0,0.001,1.0,7.026675634789604e-10
4,MEDIUM → LOW → LOW → MEDIUM,MEDIUM,289,1.5010693606440506,6.12970595716685,8.804164064457609e-10,1.0,0.001,1.0,2.405039939559152e-09
3,HIGH → LOW → LOW,LOW,148,1.7342205189095141,6.1201463669410945,9.348943841303026e-10,1.0,0.001,1.0,2.5332622021595294e-09
4,LOW → LOW → HIGH → LOW,LOW,80,1.9948564593301434,6.098156351432083,1.0729876986914633e-09,1.0,0.001,1.0,2.8841909340826533e-09
4,LOW → MEDIUM → LOW → LOW,MEDIUM,480,0.6289742632079316,-5.849483604213903,4.9310149297099315e-09,1.0,0.001,1.0,1.314937314589315e-08
3,LOW → LOW → HIGH,MEDIUM,236,1.5280962761586216,5.83674028723575,5.323197216355879e-09,1.0,0.001,1.0,1.4083419407051775e-08
3,LOW → MEDIUM → HIGH,LOW,214,0.42416654132434667,-5.771759363366364,7.844809246648765e-09,1.0,0.002,1.0,2.059262427245301e-08
3,HIGH → LOW → MEDIUM,MEDIUM,158,1.6329887549275628,5.724345008946326,1.0383355064647048e-08,1.0,0.002,1.0,2.7045017842801614e-08
4,LOW → LOW → LOW → HIGH,HIGH,140,0.3368634643149803,-5.622404319850359,1.8831787462758598e-08,1.0,0.003,1.0,4.867292759605299e-08
4,HIGH → MEDIUM → MEDIUM → LOW,HIGH,121,0.2923195351493631,-5.5780832547940635,2.4318326685701663e-08,1.0,0.004,1.0,6.237372340760122e-08
4,HIGH → LOW → LOW → LOW,HIGH,82,0.14378318598810133,-5.555789437595117,2.7635985722085366e-08,1.0,0.004,1.0,7.034614547439912e-08
3,HIGH → LOW → LOW,HIGH,148,0.37819765726425114,-5.422707499506389,5.87030084542306e-08,1.0,0.004,1.0,1.4830233714752993e-07
3,LOW → HIGH → LOW,HIGH,115,0.30740459464590847,-5.324287444641682,1.0134953409846048e-07,1.0,0.004,1.0,2.5413017505285614e-07
4,HIGH → MEDIUM → LOW → LOW,HIGH,109,0.2974597104616225,-5.25580911619222,1.4737508746698325e-07,1.0,0.004,1.0,3.6680021769560275e-07
4,MEDIUM → MEDIUM → HIGH → LOW,HIGH,90,0.22925430210325046,-5.23947127266741,1.61037311263712e-07,1.0,0.004,1.0,3.978568866515238e-07
3,MEDIUM → HIGH → LOW,HIGH,159,0.42614525830106287,-5.187206104367932,2.1347243550629003e-07,1.0,0.005,1.0,5.235528345263756e-07
4,MEDIUM → HIGH → MEDIUM → LOW,HIGH,125,0.3537066375307293,-5.177734791525739,2.2459619608561354e-07,1.0,0.005,1.0,5.468429122084504e-07
4,HIGH → LOW → LOW → LOW,LOW,82,1.83171898704633,5.161508890385103,2.4496725470335434e-07,1.0,0.005,1.0,5.921510617289716e-07
3,LOW → HIGH → MEDIUM,MEDIUM,226,1.4659785413554256,5.0398939707529555,4.657898311499764e-07,1.0,0.006,1.0,1.1178955947599434e-06
4,LOW → LOW → HIGH → LOW,HIGH,80,0.2210666484567058,-4.992296747911875,5.966548897173851e-07,1.0,0.007,1.0,1.4218159074116412e-06
4,LOW → HIGH → LOW → LOW,HIGH,70,0.16843173215749016,-4.9854231735885755,6.182634300078149e-07,1.0,0.007,1.0,1.462933186497365e-06
4,MEDIUM → LOW → MEDIUM → HIGH,LOW,101,0.27883841015680516,-4.9669113867681025,6.802765344371409e-07,1.0,0.007,1.0,1.5984119969991562e-06
4,HIGH → MEDIUM → LOW → LOW,LOW,109,1.69377990430622,4.963958050044975,6.907086851359878e-07,1.0,0.007,1.0,1.6116535986506382e-06
4,LOW → HIGH → MEDIUM → LOW,LOW,65,1.877511961722488,4.848449328311012,1.2443030512621078e-06,1.0,0.008,1.0,2.8833505187866773e-06
3,LOW → MEDIUM → HIGH,MEDIUM,214,1.4522778073240665,4.7600709648848,1.9352490188140337e-06,1.0,0.008,1.0,4.453723769325447e-06
4,MEDIUM → LOW → LOW → HIGH,MEDIUM,77,1.7510719621272386,4.742635912598004,2.1095520574831994e-06,1.0,0.008,1.0,4.821833274247313e-06
4,LOW → MEDIUM → LOW → MEDIUM,LOW,221,1.4583991859533654,4.670174542413601,3.009439231149713e-06,1.0,0.012,1.0,6.832240416664213e-06
4,MEDIUM → HIGH → LOW → MEDIUM,MEDIUM,76,1.7355447221884672,4.6143310882462325,3.943633435143923e-06,1.0,0.014,1.0,8.893025732942e-06
4,LOW → LOW → HIGH → MEDIUM,MEDIUM,123,1.5728080084006058,4.571455641866843,4.8434782704553925e-06,1.0,0.015,1.0,1.084939132582008e-05
3,MEDIUM → MEDIUM → LOW,MEDIUM,842,1.2187470058774323,4.566667858049637,4.9553824750248054e-06,1.0,0.015,1.0,1.1026546434492282e-05
4,MEDIUM → HIGH → MEDIUM → HIGH,HIGH,222,1.420668551643695,4.491295531244757,7.079124175080054e-06,1.0,0.018,1.0,1.564859028175591e-05
4,LOW → HIGH → MEDIUM → LOW,HIGH,65,0.2267350240581598,-4.467248561329869,7.923205157300828e-06,1.0,0.019,1.0,1.7399979953288093e-05
2,LOW → HIGH,HIGH,449,0.7082223138653724,-4.43390043328637,9.254337789199596e-06,1.0,0.023,1.0,2.0191282449162756e-05
4,HIGH → MEDIUM → HIGH → HIGH,MEDIUM,424,0.7120463357070923,-4.266761923976648,1.9833061245311256e-05,1.0,0.037,1.0,4.2992958570481174e-05
3,LOW → HIGH → HIGH,LOW,108,0.4057480708198412,-4.231427572696491,2.322127698883847e-05,1.0,0.039,1.0,5.001505812980593e-05
3,HIGH → MEDIUM → LOW,LOW,248,1.3883315326439265,4.190182424207438,2.787302740125952e-05,1.0,0.043,1.0,5.965182934282292e-05
4,LOW → MEDIUM → HIGH → HIGH,LOW,79,0.3168796559869178,-4.161059275282255,3.167748444909968e-05,1.0,0.048,1.0,6.736477705631324e-05
4,LOW → LOW → HIGH → MEDIUM,HIGH,123,0.4792772866270045,-4.13822573114869,3.500019366176055e-05,1.0,0.05,1.0,7.396267339843739e-05
