Date,open,high,low,close,n_bars
2015-08-19,0.97748,0.97758,0.96417,0.96578,1433
2015-08-20,0.96578,0.96715,0.95804,0.9592,1435
2015-08-21,0.9592,0.95947,0.94563,0.94565,1218
2015-08-23,0.94621,0.94804,0.94524,0.9473,176
2015-08-24,0.94734,0.94785,0.92579,0.93308,1437
2015-08-25,0.93309,0.9505,0.93145,0.93888,1438
2015-08-26,0.9389,0.95512,0.93851,0.95207,1438
2015-08-27,0.95207,0.96723,0.95124,0.96553,1437
2015-08-28,0.96553,0.96667,0.95785,0.96179,1258
2015-08-30,0.96203,0.96325,0.961,0.96123,174
2015-08-31,0.96123,0.96895,0.9587,0.96522,1427
2015-09-01,0.96524,0.96524,0.95693,0.96018,1433
2015-09-02,0.96018,0.97029,0.95987,0.97016,1435
2015-09-03,0.97015,0.97703,0.96821,0.974,1428
2015-09-04,0.974,0.97698,0.96828,0.97211,1258
2015-09-06,0.97153,0.97231,0.97122,0.97188,171
2015-09-07,0.9719,0.9764,0.97072,0.9759,1424
2015-09-08,0.97591,0.98211,0.96996,0.97799,1428
2015-09-09,0.97798,0.98238,0.97157,0.97531,1438
2015-09-10,0.97529,0.97928,0.97009,0.97338,1437
2015-09-11,0.97337,0.9796,0.96811,0.96829,1257
2015-09-13,0.96915,0.96927,0.968,0.96902,174
2015-09-14,0.96902,0.97193,0.96674,0.96836,1433
2015-09-15,0.96834,0.97633,0.96702,0.97427,1430
2015-09-16,0.97426,0.97625,0.96694,0.97034,1425
2015-09-17,0.97032,0.97248,0.95913,0.96199,1438
2015-09-18,0.96199,0.9705,0.95275,0.96831,1259
2015-09-20,0.96958,0.97021,0.96849,0.96937,162
2015-09-21,0.96938,0.97405,0.96426,0.97201,1424
2015-09-22,0.97201,0.9757,0.97074,0.9754,1432
2015-09-23,0.97544,0.9801,0.97355,0.97917,1430
2015-09-24,0.97918,0.9804,0.96686,0.97817,1437
2015-09-25,0.97824,0.98432,0.97431,0.97872,1260
2015-09-27,0.97866,0.97982,0.97767,0.97945,170
2015-09-28,0.97941,0.98161,0.97221,0.97483,1427
2015-09-29,0.97482,0.97482,0.9687,0.97116,1429
2015-09-30,0.97116,0.97756,0.9709,0.97417,1428
2015-10-01,0.97421,0.97887,0.97219,0.97638,1428
2015-10-02,0.97639,0.97946,0.9645,0.9708,1256
2015-10-04,0.97122,0.97226,0.97064,0.97128,177
2015-10-05,0.97145,0.97675,0.96859,0.9755,1424
2015-10-06,0.97549,0.9767,0.96624,0.96746,1429
2015-10-07,0.96743,0.97394,0.96481,0.97334,1430
2015-10-08,0.97334,0.97336,0.96227,0.9664,1433
2015-10-09,0.96637,0.96753,0.95864,0.96134,1250
2015-10-11,0.9609,0.96165,0.9602,0.96131,174
2015-10-12,0.96132,0.96306,0.95951,0.96291,1424
2015-10-13,0.96289,0.9646,0.95544,0.9584,1423
2015-10-14,0.95839,0.95841,0.94838,0.94963,1425
2015-10-15,0.94962,0.95525,0.94759,0.95155,1432
2015-10-16,0.95155,0.95531,0.94966,0.95339,1255
2015-10-18,0.95309,0.95434,0.95203,0.95308,167
2015-10-19,0.95308,0.9578,0.95219,0.95632,1425
2015-10-20,0.95632,0.95708,0.94936,0.95602,1426
2015-10-21,0.95604,0.96105,0.95277,0.95926,1430
2015-10-22,0.95921,0.97386,0.95798,0.97371,1436
2015-10-23,0.9737,0.98006,0.97115,0.97833,1260
2015-10-25,0.97868,0.97932,0.97814,0.97879,174
2015-10-26,0.9788,0.98388,0.9757,0.9826,1429
2015-10-27,0.98261,0.98736,0.98056,0.98715,1429
2015-10-28,0.98714,0.99571,0.98205,0.99388,1433
2015-10-29,0.99391,0.9956,0.98815,0.98918,1435
2015-10-30,0.98921,0.99107,0.98454,0.9874,1259
2015-11-01,0.98516,0.98708,0.98463,0.98633,120
2015-11-02,0.98633,0.98913,0.98358,0.98716,1430
2015-11-03,0.98715,0.99248,0.98442,0.99109,1429
2015-11-04,0.9911,0.99513,0.98849,0.99319,1431
2015-11-05,0.9932,0.9979,0.99212,0.99516,1432
2015-11-06,0.99518,1.00763,0.9944,1.00527,1314
2015-11-08,1.00477,1.00613,1.0045,1.00576,119
2015-11-09,1.00575,1.00617,0.99974,1.00314,1436
2015-11-10,1.00315,1.00863,1.00196,1.00519,1436
2015-11-11,1.00519,1.00717,1.00287,1.00348,1435
2015-11-12,1.00349,1.00852,0.99892,1.00086,1432
2015-11-13,1.00085,1.00946,0.99989,1.00535,1316
2015-11-15,1.00627,1.00905,1.00534,1.00787,119
2015-11-16,1.00787,1.0103,1.00436,1.00953,1432
2015-11-17,1.00955,1.01706,1.00923,1.0143,1431
2015-11-18,1.01431,1.02196,1.01278,1.0189,1422
2015-11-19,1.01889,1.02015,1.01218,1.01356,1435
2015-11-20,1.01358,1.01977,1.01223,1.01802,1312
2015-11-22,1.0195,1.01978,1.01874,1.01974,118
2015-11-23,1.01974,1.02258,1.01752,1.01845,1436
2015-11-24,1.01846,1.01939,1.01441,1.01708,1438
2015-11-25,1.01709,1.02604,1.01436,1.02183,1437
2015-11-26,1.02184,1.02529,1.02135,1.02359,1432
2015-11-27,1.02357,1.0328,1.02258,1.02944,1312
2015-11-29,1.02954,1.03041,1.02947,1.03027,117
2015-11-30,1.03027,1.03199,1.02583,1.02908,1436
2015-12-01,1.02914,1.03017,1.0253,1.0263,1437
2015-12-02,1.02631,1.03074,1.01794,1.01863,1435
2015-12-03,1.01865,1.02639,0.98749,0.99378,1436
2015-12-04,0.99378,1.0034,0.99119,0.99574,1319
2015-12-06,0.997,0.99762,0.99611,0.99681,116
2015-12-07,0.9968,1.00315,0.99645,1.00055,1431
2015-12-08,1.00059,1.00102,0.99172,0.99284,1434
2015-12-09,0.99289,0.99446,0.982,0.98341,1438
2015-12-10,0.98341,0.99079,0.98307,0.98828,1434
2015-12-11,0.98832,0.98984,0.98032,0.98288,1315
2015-12-13,0.98353,0.98436,0.98302,0.98415,120
2015-12-14,0.98409,0.9872,0.97859,0.98569,1435
2015-12-15,0.98572,0.99245,0.97983,0.9908,1437
2015-12-16,0.9908,0.9938,0.98099,0.99256,1436
2015-12-17,0.99256,0.99907,0.99136,0.99462,1440
2015-12-18,0.99462,0.99757,0.99146,0.99156,1319
2015-12-20,0.99248,0.99315,0.99125,0.99187,112
2015-12-21,0.99189,0.99686,0.9897,0.99277,1430
2015-12-22,0.99277,0.99373,0.98569,0.98786,1431
2015-12-23,0.9879,0.99451,0.98746,0.99066,1428
2015-12-24,0.99066,0.99068,0.98526,0.98645,1132
2015-12-27,0.98607,0.98717,0.9858,0.98702,107
2015-12-28,0.98702,0.99021,0.9857,0.98811,1425
2015-12-29,0.98814,0.99431,0.98616,0.99232,1426
2015-12-30,0.99232,0.9927,0.98572,0.98811,1430
2015-12-31,0.98819,1.00288,0.98718,1.00254,1295
2016-01-03,1.00058,1.00079,0.99906,0.99959,116
2016-01-04,0.99951,1.00626,0.9924,1.0026,1434
2016-01-05,1.00261,1.01242,1.00073,1.00863,1437
2016-01-06,1.00862,1.01198,1.00569,1.00741,1439
2016-01-07,1.00742,1.00766,0.99219,0.99388,1440
2016-01-08,0.99387,1.00516,0.9936,0.99456,1320
2016-01-10,0.99534,0.99534,0.98797,0.99241,120
2016-01-11,0.99241,1.00226,0.99234,1.0016,1436
2016-01-12,1.00167,1.00464,0.99664,1.00312,1437
2016-01-13,1.00311,1.01064,1.00247,1.00604,1439
2016-01-14,1.00604,1.00918,1.00095,1.00539,1437
2016-01-15,1.00536,1.00603,0.99581,1.0014,1319
2016-01-17,1.0013,1.00205,1.00033,1.00181,119
2016-01-18,1.00181,1.00729,1.00128,1.00504,1427
2016-01-19,1.00503,1.00816,1.00014,1.00334,1431
2016-01-20,1.00335,1.00606,0.99903,1.00591,1438
2016-01-21,1.00593,1.01458,1.00122,1.00796,1440
2016-01-22,1.00797,1.01657,1.00689,1.01578,1320
2016-01-24,1.01534,1.01673,1.01533,1.0163,113
2016-01-25,1.01629,1.0163,1.01207,1.01246,1434
2016-01-26,1.01244,1.01988,1.01174,1.01712,1432
2016-01-27,1.01711,1.01886,1.01302,1.0145,1435
2016-01-28,1.01452,1.01774,1.01102,1.01393,1436
2016-01-29,1.01393,1.02562,1.01328,1.02289,1319
2016-01-31,1.0214,1.02496,1.02133,1.02445,117
2016-02-01,1.02445,1.02456,1.0155,1.01961,1438
2016-02-02,1.0196,1.02242,1.01701,1.01876,1439
2016-02-03,1.01877,1.01937,0.99875,1.00536,1437
2016-02-04,1.00534,1.0074,0.99215,0.99337,1439
2016-02-05,0.99337,0.99849,0.98814,0.99039,1319
2016-02-07,0.99164,0.99304,0.99159,0.99281,115
2016-02-08,0.99282,0.9973,0.98407,0.9872,1437
2016-02-09,0.98722,0.98736,0.96948,0.97309,1438
2016-02-10,0.97307,0.98194,0.97093,0.97316,1440
2016-02-11,0.97318,0.9761,0.96608,0.97234,1438
2016-02-12,0.97232,0.97904,0.9714,0.97654,1320
