ghi_luc,pair,ngay,h,p_giam,p_ngang,p_tang,b_pip,sigma_pip,che_do,mo_hinh,ma_cau_hinh
2026-09-11T17:05:28Z,USDJPY,2026-09-14,5,0.306,0.2448,0.4491,56.76,198.53,2,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-11T17:05:28Z,USDJPY,2026-09-14,20,0.2919,0.2073,0.5008,94.51,401.44,2,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-11T17:05:28Z,AUDUSD,2026-09-14,1,0.2929,0.4141,0.293,13.7,27.78,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-11T17:05:28Z,AUDUSD,2026-09-14,5,0.2893,0.4467,0.2639,33.12,58.81,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-11T17:05:28Z,AUDUSD,2026-09-14,20,0.2584,0.5646,0.177,77.69,120.59,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-11T17:05:28Z,USDCAD,2026-09-14,1,0.3057,0.3528,0.3415,16.33,43.74,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-11T17:05:28Z,USDCAD,2026-09-14,5,0.2997,0.3593,0.341,42.86,94.4,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-11T17:05:28Z,USDCAD,2026-09-14,20,0.2289,0.4306,0.3405,101.84,204.3,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-11T17:05:28Z,USDCHF,2026-09-14,1,0.3179,0.344,0.3381,12.91,35.31,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-11T17:05:28Z,USDCHF,2026-09-14,5,0.3744,0.2782,0.3474,30.38,87.05,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-11T17:05:28Z,USDCHF,2026-09-14,20,0.3596,0.3238,0.3166,59.69,153.19,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
