pair,Date,rv_kiem,n_o,j_bcl,j_tho,n_nhay_bcl,n_nhay_tho,ti_chuky
AUDUSD,2025-02-20,3.3249565851548295e-05,287,6.3465081326961505e-06,9.076864111493022e-06,4,5,0.9486447294029021
AUDUSD,2025-02-21,2.0494595932961863e-05,263,1.269902921532344e-06,9.733542900191115e-07,2,1,1.1176220326236292
AUDUSD,2025-02-24,2.5022103133260075e-05,287,0.0,2.621035397557109e-06,0,2,1.234527451584125
AUDUSD,2025-02-25,2.0702265715424042e-05,287,8.660016513509069e-07,0.0,1,0,0.9873209118627586
AUDUSD,2025-02-26,3.0649718216049104e-05,287,5.3608297463715515e-06,3.237539072057314e-06,4,2,1.1079834394396553
AUDUSD,2025-02-27,3.290161497732603e-05,287,7.1504746537504515e-06,7.950464731174408e-06,3,2,0.853632825796188
AUDUSD,2025-02-28,2.6306447017591978e-05,263,1.0322020436103867e-06,0.0,1,0,1.0376591292707245
AUDUSD,2025-03-03,3.158247376307011e-05,287,9.2651094086341e-06,6.36751696943043e-06,7,3,1.7210943278118536
AUDUSD,2025-03-04,5.547642677500846e-05,287,5.772094504654161e-06,0.0,3,0,1.3827948947592639
AUDUSD,2025-03-05,5.387726821598253e-05,287,9.707735997745937e-06,1.0516658299080634e-05,3,3,1.0753626605172533
AUDUSD,2025-03-06,3.748696612427849e-05,287,0.0,0.0,0,0,1.0120756349195454
AUDUSD,2025-03-07,4.653959630836362e-05,263,9.82576910288249e-06,1.4865013931499735e-05,2,4,0.8241293496146276
AUDUSD,2025-03-10,3.1699150231145526e-05,287,0.0,0.0,0,0,1.4843199477802347
AUDUSD,2025-03-11,4.412712300749337e-05,287,5.991156735713505e-06,7.823507454851932e-06,2,3,1.0413172732807323
AUDUSD,2025-03-12,3.929341399961656e-05,287,1.3862261053338367e-05,1.7269279542754277e-05,3,6,0.9902338758876505
AUDUSD,2025-03-13,2.9649185132326824e-05,287,6.904372620557846e-06,6.395284649743357e-06,8,6,1.1757268227149131
AUDUSD,2025-03-14,2.251252910534972e-05,239,0.0,0.0,0,0,0.9586702600595965
AUDUSD,2025-03-17,1.6629357399304853e-05,287,7.830972843444425e-07,7.830972843444425e-07,1,1,1.3001239801138529
AUDUSD,2025-03-18,1.6725458747401354e-05,287,1.680653456487794e-06,2.384119951764446e-06,3,3,1.0041697535349352
AUDUSD,2025-03-19,4.254800281764845e-05,287,2.0962408317618967e-05,2.2115036455763126e-05,7,8,1.172376775431809
AUDUSD,2025-03-20,2.76616021823449e-05,287,0.0,0.0,0,0,0.9409316992322581
AUDUSD,2025-03-21,1.881366170624673e-05,239,0.0,0.0,0,0,0.9399940321908062
AUDUSD,2025-03-24,2.6959767949909932e-05,287,4.865183468810285e-06,4.653192901243545e-06,4,2,1.3852454305305901
AUDUSD,2025-03-25,2.090866350407731e-05,287,2.428344982277681e-06,1.8477907703350681e-06,3,2,1.079443124317575
AUDUSD,2025-03-26,3.037404291438078e-05,287,5.461836071700371e-06,4.268565764047698e-06,3,1,1.3634035074323565
AUDUSD,2025-03-27,2.8468844564651964e-05,287,4.900657109871699e-06,3.803604039040628e-06,3,2,1.0863171092645396
AUDUSD,2025-03-28,1.5844753653004742e-05,239,0.0,0.0,0,0,0.8715454516086227
AUDUSD,2025-03-31,2.9908852969256315e-05,287,0.0,0.0,0,0,1.1380114229488016
AUDUSD,2025-04-01,3.6209082936379835e-05,287,3.7928382585283017e-06,5.762968961274271e-06,4,4,1.0703752567802574
AUDUSD,2025-04-02,0.00016207122028992068,287,0.00013628006618211322,0.00013068797859822577,18,12,2.2473716856889974
AUDUSD,2025-04-03,8.954656630564166e-05,287,5.257956384690681e-06,0.0,2,0,1.0265975018032492
AUDUSD,2025-04-04,0.000374171206907736,251,0.00011142206900035577,0.00015688417625454984,6,10,0.9372952031380717
AUDUSD,2025-04-07,0.0003801497304390641,286,0.00010231363482487231,0.00010231363482487231,5,5,1.2263051838134875
AUDUSD,2025-04-08,0.0001829734193115864,287,4.125665067341012e-06,0.0,1,0,1.15589205016695
AUDUSD,2025-04-09,0.0003996892412542028,287,0.00013172864690755715,0.00010599850202827744,5,3,1.2021997426231565
AUDUSD,2025-04-10,0.0002268367209451507,287,1.4270699736676924e-05,1.4270699736676924e-05,1,1,0.9637109526901391
AUDUSD,2025-04-11,0.00018956926657635843,251,1.282873543305257e-05,1.821475856295756e-05,2,1,0.993655676829359
AUDUSD,2025-04-14,8.262149557590188e-05,287,0.0,8.33293493658786e-06,0,2,1.1676629860070635
AUDUSD,2025-04-15,6.768514001398325e-05,287,6.288039915540854e-06,6.288039915540854e-06,2,2,1.001238114641269
AUDUSD,2025-04-16,7.200414476203788e-05,287,8.758996077942955e-06,1.1689639941212915e-05,1,2,0.9423920139046441
AUDUSD,2025-04-17,6.284864460951939e-05,287,2.7883320590645377e-05,2.650272610641369e-05,3,2,1.5864656972574316
AUDUSD,2025-04-18,1.3452342010899415e-05,251,7.412072085003619e-06,6.006344723957451e-06,17,11,1.2213976538351548
AUDUSD,2025-04-21,4.239349049252507e-05,287,4.89084334785761e-06,4.0721913298627665e-06,3,2,1.4330620588197651
AUDUSD,2025-04-22,7.525518114562705e-05,287,1.827950327839034e-05,1.3428608338299603e-05,7,4,1.4015013224048378
AUDUSD,2025-04-23,6.356349090751938e-05,287,4.8293597453277465e-06,7.58266853314229e-06,1,2,0.9404516829600124
AUDUSD,2025-04-24,4.65442399550573e-05,287,3.1105361444466133e-06,4.734763851265338e-06,2,2,1.025154884423553
AUDUSD,2025-04-25,2.9896515427839115e-05,251,8.793185110562143e-07,0.0,1,0,1.0095459959561903
AUDUSD,2025-04-28,3.82405884228386e-05,287,0.0,5.25697884925512e-06,0,2,1.209072313601449
