Date,rv5,rq5,bpv5,rsp,rsn,n5,pair
2014-06-25,4.752560349231116e-06,5.192671841482602e-11,4.598628687117943e-06,2.074123227470976e-06,2.6784371217601404e-06,286,USDCAD
2014-06-26,6.065661113095863e-06,1.2941753976285149e-10,6.380149215125574e-06,2.31020229738138e-06,3.7554588157144834e-06,287,USDCAD
2014-06-27,5.785136589480987e-06,8.625813442550821e-11,4.431024717098331e-06,2.275075741012188e-06,3.5100608484688e-06,251,USDCAD
2014-06-29,8.37959192269181e-08,6.161151517217629e-15,9.597154587526786e-08,3.868781724863408e-08,4.5108101978284056e-08,35,USDCAD
2014-06-30,1.1584928978138013e-05,6.034575813013311e-10,1.0466334034750895e-05,6.415364366421069e-06,5.169564611716945e-06,287,USDCAD
2014-07-01,4.577171814255155e-06,3.663232966208898e-11,3.935915453988112e-06,1.7223077623606842e-06,2.85486405189447e-06,286,USDCAD
2014-07-02,5.116787778923055e-06,4.469444128028687e-11,4.908082641294809e-06,3.3598597980453733e-06,1.7569279808776823e-06,286,USDCAD
2014-07-03,1.7143084874691583e-05,4.230550404339154e-09,1.4249396183570715e-05,1.028478487392155e-05,6.858300000770031e-06,287,USDCAD
2014-07-04,3.3280963491352696e-06,2.7749436709977048e-11,2.610471961484417e-06,1.9318600460534573e-06,1.3962363030818123e-06,251,USDCAD
2014-07-06,4.3249585782631843e-07,6.214309303625315e-13,3.252733391164709e-07,1.9855350362716722e-07,2.3394235419915122e-07,35,USDCAD
2014-07-07,7.532630544453078e-06,3.0491447616423527e-10,5.978173502359279e-06,4.766572006560492e-06,2.7660585378925867e-06,287,USDCAD
2014-07-08,4.657090422610383e-06,3.0072724349247127e-11,4.719463646249175e-06,2.1661115252567184e-06,2.490978897353665e-06,287,USDCAD
2014-07-09,7.305687240630361e-06,1.4190665205603276e-10,6.6994467939063324e-06,2.7601280946964035e-06,4.545559145933958e-06,287,USDCAD
2014-07-10,6.381140676074983e-06,5.87686969431961e-11,5.934911878712554e-06,3.530692024710544e-06,2.8504486513644383e-06,287,USDCAD
2014-07-11,2.1753049468652105e-05,2.1188621765459423e-08,8.203524452049017e-06,1.982913616684973e-05,1.923913301802369e-06,251,USDCAD
2014-07-13,2.1626669290397369e-07,5.2929492567362917e-14,2.422854871814211e-07,6.419332782479904e-08,1.5207336507917462e-07,35,USDCAD
2014-07-14,5.00142217631779e-06,4.7934207590069776e-11,4.316258635359026e-06,2.1442446869432265e-06,2.857177489374564e-06,287,USDCAD
2014-07-15,9.150983130260014e-06,2.351732716774355e-10,7.285598193400383e-06,5.558595650537959e-06,3.592387479722054e-06,287,USDCAD
2014-07-16,1.621751220321614e-05,3.112809498646694e-09,1.0443822779828073e-05,9.34233089897467e-06,6.8751813042414745e-06,287,USDCAD
2014-07-17,7.667413052436018e-06,9.909435801157335e-11,7.371398334642644e-06,4.045807325595673e-06,3.6216057268403465e-06,287,USDCAD
2014-07-18,2.924156717023164e-05,4.129774439764781e-08,2.1022506916551645e-05,4.83675112995775e-06,2.4404816040273887e-05,251,USDCAD
2014-07-20,2.813559902826474e-07,1.554407724825465e-13,3.22436877428114e-07,2.041728952270468e-07,7.718309505560068e-08,35,USDCAD
2014-07-21,5.066286689386951e-06,6.580567019191239e-11,4.858800255152969e-06,2.330777622209317e-06,2.735509067177634e-06,287,USDCAD
2014-07-22,6.0076974606374005e-06,2.46209847673856e-10,5.564155042168916e-06,2.513447172265678e-06,3.4942502883717223e-06,287,USDCAD
2014-07-23,7.04728155294008e-06,1.3102227045592369e-10,6.21899635367994e-06,3.0229661971740727e-06,4.024315355766005e-06,287,USDCAD
2014-07-24,4.940090340912555e-06,5.3042506611727745e-11,4.152976952936553e-06,2.7474026255074022e-06,2.192687715405153e-06,287,USDCAD
2014-07-25,8.08029906527664e-06,2.2638722107395511e-10,6.664303149746195e-06,5.789753880924436e-06,2.290545184352204e-06,251,USDCAD
2014-07-27,1.0788943821066929e-07,1.45363490080194e-14,9.44455188954702e-08,2.9180003114870974e-08,7.870943509579831e-08,34,USDCAD
2014-07-28,4.288374808240936e-06,2.5558522617481358e-11,4.177388216201807e-06,2.1517334774899902e-06,2.136641330750944e-06,287,USDCAD
2014-07-29,7.295039874307554e-06,1.6599249975106742e-10,7.05302753785558e-06,4.752700181837654e-06,2.542339692469901e-06,287,USDCAD
2014-07-30,1.786190129274851e-05,4.682916123981868e-09,1.3396423876061162e-05,1.3302257059331595e-05,4.559644233416912e-06,287,USDCAD
2014-07-31,7.679792654153634e-06,1.3010263607019043e-10,7.688610355115092e-06,3.5088074222936864e-06,4.170985231859948e-06,287,USDCAD
2014-08-01,1.1680725619479404e-05,6.828352421160979e-10,1.1166092507752057e-05,5.019015314268906e-06,6.661710305210496e-06,251,USDCAD
