pair,Date,n_bin,rv_kiem,hhi,top1,top12
GBPUSD,2012-03-16,251,2.5413740355427618e-05,0.07305765536889647,0.23118073895358113,0.6088385811931956
GBPUSD,2012-03-19,287,1.2821117033480734e-05,0.020552958389670636,0.06483034774639262,0.4043776194616194
GBPUSD,2012-03-20,287,1.924446943008463e-05,0.025312573081057714,0.07920579503328558,0.4575313398577063
GBPUSD,2012-03-21,287,2.4851047686997597e-05,0.09891193516734025,0.30219807815284017,0.5114186130351174
GBPUSD,2012-03-22,287,1.9190603409747425e-05,0.03932793224837683,0.1684711423696205,0.4333279232706899
GBPUSD,2012-03-23,251,2.2910207345651095e-05,0.02995942077118712,0.08122129478970629,0.517268272291302
GBPUSD,2012-03-26,287,2.1317311093267777e-05,0.025119152326923078,0.09494495398154142,0.43498265221281573
GBPUSD,2012-03-27,287,1.5676818300591198e-05,0.023145605920893146,0.07501667370206579,0.4206393875647706
GBPUSD,2012-03-28,287,2.173909248981029e-05,0.02280555428203719,0.0592665421776887,0.4550813092147534
GBPUSD,2012-03-29,287,1.865445406186937e-05,0.01907057441906617,0.0598544551775788,0.3841167272367405
GBPUSD,2012-03-30,251,2.772522946019421e-05,0.047115341450869354,0.14620997847193812,0.5047437346302839
GBPUSD,2012-04-02,287,1.6206630935480345e-05,0.02204174088692578,0.09242569846774751,0.39492167020436764
GBPUSD,2012-04-03,287,1.6233698722037598e-05,0.06813697362072399,0.23705731288875245,0.5349634645849669
GBPUSD,2012-04-04,287,1.9778481738366062e-05,0.014919649198507873,0.0376460620845515,0.3210267848602863
GBPUSD,2012-04-05,287,1.7425882671281664e-05,0.020942460892887756,0.08832492466363685,0.38002959271980774
GBPUSD,2012-04-06,251,7.616782227956466e-06,0.023632745974578186,0.07149865344636962,0.44167320541992083
GBPUSD,2012-04-09,287,9.539870651726812e-06,0.022545190346938283,0.08059753921864125,0.41725378817373754
GBPUSD,2012-04-10,287,1.9316843707139173e-05,0.019246619190947015,0.0737859360464529,0.3760654180541516
GBPUSD,2012-04-11,287,2.28773948373634e-05,0.030040816762001706,0.09855915668890747,0.4556893266019915
GBPUSD,2012-04-12,287,1.2980318991896948e-05,0.027349291530918016,0.10153881757274476,0.42010156884199423
GBPUSD,2012-04-13,251,1.4634522148614435e-05,0.025537444316702546,0.10426763851424997,0.4235756391659544
GBPUSD,2012-04-16,287,1.4427432580410697e-05,0.020606469450341072,0.061016458732146554,0.4027472577956785
GBPUSD,2012-04-17,287,1.276575515562461e-05,0.02805174514755997,0.09342719601976784,0.46534066481074365
GBPUSD,2012-04-18,287,2.3740204749868013e-05,0.05130843694031725,0.18907876474880556,0.5297657423648019
GBPUSD,2012-04-19,287,1.286421226110764e-05,0.02384877402036565,0.08207073781327534,0.424777795484439
GBPUSD,2012-04-20,251,1.8416986368956735e-05,0.025414238352545686,0.10803303338570598,0.4145282320018032
GBPUSD,2012-04-23,287,9.706914791646032e-06,0.017842910829081633,0.045392127938227576,0.3790687064585336
GBPUSD,2012-04-24,287,1.1484142259016001e-05,0.02750161644015834,0.07825503379206872,0.4454257136849611
GBPUSD,2012-04-25,287,2.8167237519614657e-05,0.13360714764623613,0.3242122747953602,0.6672125042182735
GBPUSD,2012-04-26,287,1.0826791787416635e-05,0.01741191450319293,0.050829413782352846,0.3602397833653256
GBPUSD,2012-04-27,251,1.4584649570809423e-05,0.05009203674123688,0.17768046724714195,0.5514617319169647
GBPUSD,2012-04-30,287,6.6828058607942936e-06,0.017760366576234185,0.08028001918316618,0.3438670892649229
GBPUSD,2012-05-01,287,1.2068793574986728e-05,0.05713541382518279,0.19349371155137265,0.5846182956657598
GBPUSD,2012-05-02,287,1.5128371913955785e-05,0.06167031538619608,0.19304227765281382,0.6205768014966038
GBPUSD,2012-05-03,287,8.820308016653589e-06,0.018931348951839424,0.04334193040130366,0.39879943975905874
GBPUSD,2012-05-04,251,1.024567403652541e-05,0.037018278850329184,0.1452007937967118,0.47563742237549556
GBPUSD,2012-05-07,287,8.023925672739873e-06,0.0208504324864923,0.08689557020197206,0.3888598976492278
GBPUSD,2012-05-08,287,9.155395582638835e-06,0.016199956487955313,0.06551954545926186,0.33721250267404473
GBPUSD,2012-05-09,287,1.4036844043636374e-05,0.016765895059181427,0.06426645983707564,0.34638594523502814
GBPUSD,2012-05-10,287,1.411331944185773e-05,0.053247182419841055,0.1912811270277176,0.5039719787805709
GBPUSD,2012-05-11,251,1.2862483439933932e-05,0.020856168125804875,0.07099345801007725,0.3950489352915675
GBPUSD,2012-05-14,287,1.156771432951053e-05,0.019712459934370104,0.05903270756247042,0.3895678459544379
GBPUSD,2012-05-15,287,1.0865440122921015e-05,0.0164134064445864,0.04725226978105077,0.34641966966681165
GBPUSD,2012-05-16,287,3.579188441051314e-05,0.14541713501847384,0.3710629886734174,0.5963432824386737
GBPUSD,2012-05-17,287,2.054251254177302e-05,0.024849788147879245,0.11384157105983168,0.3767294822085755
GBPUSD,2012-05-18,251,2.3129022252596865e-05,0.02256924441332036,0.07844698718180261,0.4139865598972193
GBPUSD,2012-05-21,287,1.696004976416445e-05,0.0186270012207254,0.06411916992659902,0.37724893394791176
GBPUSD,2012-05-22,287,2.1970904109862905e-05,0.03456046373242683,0.14738147319970132,0.4307792629032324
GBPUSD,2012-05-23,287,1.8658633492009457e-05,0.018648344318211586,0.05709524773165743,0.38881026441175653
GBPUSD,2012-05-24,287,1.878943315513547e-05,0.013487962701787015,0.046941439625829535,0.29374212118292276
GBPUSD,2012-05-25,251,1.5527323415187666e-05,0.023987434008616113,0.09781344651203369,0.40275351377291024
GBPUSD,2012-05-28,287,1.1261146609102828e-05,0.018258113172103296,0.05812697557015311,0.37596320401353867
GBPUSD,2012-05-29,287,1.3449681260704314e-05,0.01853680095189394,0.06274691998824077,0.3898321753581003
GBPUSD,2012-05-30,287,2.233328987486242e-05,0.01984859488950383,0.06764089063096625,0.3972610249318254
GBPUSD,2012-05-31,287,3.1832583824039626e-05,0.041443333345809096,0.11331474386627151,0.5692304229579462
GBPUSD,2012-06-01,251,6.7910046510778e-05,0.048180009538860986,0.16712935294120537,0.565330289363292
GBPUSD,2012-06-04,287,1.5635367139022995e-05,0.016551629179951167,0.05917003984672738,0.34664309643996405
GBPUSD,2012-06-05,287,1.8132920914247233e-05,0.015351166160294204,0.04795313286986982,0.34156414961063875
GBPUSD,2012-06-06,287,2.28092478945852e-05,0.019434819883409764,0.06650438452320605,0.3791752027404889
GBPUSD,2012-06-07,287,3.804900448448076e-05,0.02763354537420756,0.11434563140364662,0.4311764535574926
GBPUSD,2012-06-08,251,2.687259993832661e-05,0.015517114689361445,0.05071935312545263,0.3184828817157959
GBPUSD,2012-06-11,287,2.4856100929010863e-05,0.018409587100842575,0.0665348262519433,0.3579669011529706
GBPUSD,2012-06-12,287,2.9464813058405153e-05,0.02189542310008664,0.059653379659037276,0.42950785991599977
GBPUSD,2012-06-13,287,2.220732896322589e-05,0.025008348955210553,0.09649532183860056,0.4233063173467361
GBPUSD,2012-06-14,287,2.4517646339592723e-05,0.018532423002650476,0.05530673776374916,0.3726689610157995
GBPUSD,2012-06-15,251,3.326599644101687e-05,0.05516684851325241,0.20974689932294033,0.4811538741383051
GBPUSD,2012-06-18,287,2.8647911825368695e-05,0.024021621994282996,0.07041497665656371,0.45293402390665494
GBPUSD,2012-06-19,287,2.323560681416483e-05,0.027697002181401316,0.08028416708853013,0.4857764253619791
GBPUSD,2012-06-20,287,3.555974915198275e-05,0.037531718714512954,0.1289394283017168,0.5184981342021715
GBPUSD,2012-06-21,287,2.9530319786896494e-05,0.016421253993733412,0.056104162701583075,0.3374799860294272
GBPUSD,2012-06-22,251,1.9546074441819454e-05,0.01652756901894846,0.0474667639579537,0.32852746470668787
GBPUSD,2012-06-25,287,1.0402920601066873e-05,0.01884418616829838,0.0553581414578887,0.3855011420899235
GBPUSD,2012-06-26,287,1.95954936957206e-05,0.018793583990428703,0.0627827043676859,0.37835508180261196
GBPUSD,2012-06-27,287,1.6432507266489747e-05,0.02942377369182447,0.10254593295690932,0.47696847616009946
GBPUSD,2012-06-28,287,2.201365653394257e-05,0.032575916704613815,0.14837395048711716,0.4100516610206094
GBPUSD,2012-06-29,251,5.8445067515193794e-05,0.0289436383325748,0.08164933472117222,0.5067378308175715
GBPUSD,2012-07-02,287,2.585294239980779e-05,0.021823475754913644,0.08262665202374533,0.3983626868548869
GBPUSD,2012-07-03,287,1.4404087365224531e-05,0.017804750884435703,0.06344392704372709,0.3562807394553119
GBPUSD,2012-07-04,287,1.3021379777582979e-05,0.018146452526266305,0.06908406877345619,0.3672982182137471
GBPUSD,2012-07-05,287,2.5397795265577635e-05,0.03705476246665736,0.1288805143145523,0.5275283863880246
GBPUSD,2012-07-06,251,1.6496401991621427e-05,0.021771429469564046,0.08262177175604532,0.40662645115688856
GBPUSD,2012-07-09,287,1.3661421197775839e-05,0.016120318782647015,0.04985020069883352,0.34018747739672733
GBPUSD,2012-07-10,287,1.443661893108795e-05,0.01750664111019854,0.050105130587960456,0.37342963867316115
GBPUSD,2012-07-11,287,1.768987385103484e-05,0.043124004722890935,0.1706852555152494,0.4821204150271814
GBPUSD,2012-07-12,287,1.6336868565276292e-05,0.018673110868283486,0.06096081768820295,0.3905347728788651
GBPUSD,2012-07-13,251,2.3122271812198976e-05,0.021931779367172145,0.05775687168065368,0.40589561620746656
GBPUSD,2012-07-16,287,1.768910476731929e-05,0.04042046068072617,0.13377339954552891,0.5397001725947862
GBPUSD,2012-07-17,287,2.9155076985068136e-05,0.0278621520552118,0.1072888000208142,0.4317239595540458
GBPUSD,2012-07-18,287,2.0581009476583653e-05,0.025757720472554903,0.11178884585700084,0.40625868189445813
GBPUSD,2012-07-19,287,1.8842826970973498e-05,0.03651445599740255,0.11236763128743392,0.5255280213465116
GBPUSD,2012-07-20,251,1.4598885959478318e-05,0.018268705640622548,0.06432120637723392,0.36916659678689784
GBPUSD,2012-07-23,287,1.3904912287654224e-05,0.014832899946784852,0.044595560172346456,0.32434131161896823
GBPUSD,2012-07-24,287,1.652606652720372e-05,0.015017827877757503,0.04588959506908327,0.3316596701626385
GBPUSD,2012-07-25,287,3.120445040557813e-05,0.048182688914113043,0.18329410980943694,0.5098758973953764
GBPUSD,2012-07-26,287,3.293774606019466e-05,0.03295671683078822,0.1171464432593931,0.5121037404953253
GBPUSD,2012-07-27,251,2.513032147315321e-05,0.030967848788666447,0.07867741874981207,0.5162689996094114
