Date,pair,rv_m1,n_m1,rv_m5,n_m5,rv_m15,n_m15,rv_h1,n_h1
2020-06-03,USDJPY,1.6295301092653298e-05,1437,1.4525281927300118e-05,287,1.3986251227906804e-05,95,1.2115378027873424e-05,23.0
2020-06-04,USDJPY,1.9173624351708803e-05,1439,1.9725395599008106e-05,287,1.982221349411678e-05,95,1.55709780059701e-05,23.0
2020-06-05,USDJPY,2.5610738478673347e-05,1259,2.482208226505826e-05,251,2.2386065754543455e-05,83,1.7905857031826057e-05,20.0
2020-06-07,USDJPY,1.5106545391588193e-06,176,1.0738384723323793e-06,35,1.0380332296864446e-06,11,1.1620906277155971e-07,2.0
2020-06-08,USDJPY,2.7171530467633742e-05,1439,1.9789313964033364e-05,287,1.933424289986265e-05,95,3.15912693688492e-05,23.0
2020-06-09,USDJPY,2.9203484481649563e-05,1437,3.1703649046715534e-05,287,3.199310181369109e-05,95,1.7938742491783175e-05,23.0
2020-06-10,USDJPY,2.5850199717151337e-05,1439,2.0999755704977464e-05,287,1.6572953322624086e-05,95,9.20536256163058e-06,23.0
2020-06-11,USDJPY,2.249738019110057e-05,1438,2.1180062676944225e-05,287,1.9458777409226348e-05,95,1.781967746629113e-05,23.0
2020-06-12,USDJPY,2.6683976707158214e-05,1259,2.3935797114908456e-05,251,2.0337408721952295e-05,83,1.8427548270548572e-05,20.0
2020-06-14,USDJPY,3.0797423684130767e-06,170,3.4106872459745275e-06,34,3.530642343344845e-06,11,2.0420588040024322e-06,2.0
2020-06-15,USDJPY,2.0193477244309313e-05,1438,1.8673793600171366e-05,287,1.576096515620935e-05,95,7.310965146396824e-06,23.0
2020-06-16,USDJPY,2.2560138709135894e-05,1439,1.9756705416973934e-05,287,1.8386977308096646e-05,95,1.5367056107853207e-05,23.0
2020-06-17,USDJPY,1.1474263247333785e-05,1438,9.248432118893758e-06,287,7.369515492104741e-06,95,8.68835718848555e-06,23.0
2020-06-18,USDJPY,1.610815950901752e-05,1436,1.4609229237297353e-05,287,1.156015587493447e-05,95,8.50377638333492e-06,23.0
2020-06-19,USDJPY,9.348090201253804e-06,1257,9.585235436359113e-06,251,7.09972460511485e-06,83,5.44646130940437e-06,20.0
2020-06-21,USDJPY,2.0711519483507254e-06,173,1.2440143895064322e-06,35,1.082492954526884e-06,11,2.0626521077518867e-07,2.0
2020-06-22,USDJPY,8.105648496801104e-06,1437,7.118615178293791e-06,287,4.5241775892245626e-06,95,2.7922998781163736e-06,23.0
2020-06-23,USDJPY,2.1260806019573364e-05,1439,2.0396501340577176e-05,287,2.569836303871888e-05,95,3.334069273183921e-05,23.0
2020-06-24,USDJPY,1.4935975890513417e-05,1437,1.2467392478954316e-05,287,1.0515971574855188e-05,95,6.892502443978777e-06,23.0
2020-06-25,USDJPY,1.2089257311184738e-05,1438,1.0233908200350526e-05,287,9.617915609793663e-06,95,8.811418941089696e-06,23.0
2020-06-26,USDJPY,9.862109858354745e-06,1258,1.0571742866260018e-05,251,1.0268205362499154e-05,83,1.2223137653752139e-05,20.0
2020-06-28,USDJPY,2.1883335943032958e-06,178,1.5401600406770148e-06,35,8.954644623014186e-07,11,6.331047816709314e-07,2.0
2020-06-29,USDJPY,1.166624889975186e-05,1437,1.3356014321917044e-05,287,1.3303668057351535e-05,95,1.0316592360658587e-05,23.0
2020-06-30,USDJPY,1.5472523629215136e-05,1439,1.4348551644360856e-05,287,1.142307030484644e-05,95,9.167449151349145e-06,23.0
2020-07-01,USDJPY,1.316639941532076e-05,1435,1.1965694378033528e-05,287,1.2116174304700541e-05,95,1.2692881839865215e-05,23.0
2020-07-02,USDJPY,7.770050852801017e-06,1408,9.668770295111301e-06,287,7.807084209968693e-06,95,8.178201258454535e-06,23.0
2020-07-03,USDJPY,2.2997829245489416e-06,1250,2.0153895564782026e-06,251,1.7940049903999778e-06,83,5.670439870234686e-07,20.0
2020-07-05,USDJPY,1.5910523257521539e-06,176,9.142510221598383e-07,35,5.930853984090546e-07,11,2.63700777005884e-07,2.0
2020-07-06,USDJPY,6.759465308943132e-06,1429,5.21879357192364e-06,287,5.731522434554299e-06,95,4.617261092599365e-06,23.0
2020-07-07,USDJPY,7.3876226630569595e-06,1434,6.804384778161818e-06,287,5.65399387838425e-06,95,6.495511157126794e-06,23.0
2020-07-08,USDJPY,6.0491818098989815e-06,1427,5.109035709222405e-06,287,5.207876527888972e-06,95,5.281892520105362e-06,23.0
2020-07-09,USDJPY,8.572914759327723e-06,1435,7.6085573360791795e-06,287,5.836713879857211e-06,95,5.136826526966657e-06,23.0
2020-07-10,USDJPY,7.223461779460656e-06,1259,6.058540789123815e-06,251,5.823407720532617e-06,83,5.274978381283013e-06,20.0
2020-07-12,USDJPY,4.965153041116051e-07,171,2.9130728323362267e-07,35,3.2332934697873993e-07,11,8.470237240934038e-08,2.0
2020-07-13,USDJPY,6.651802482211061e-06,1438,5.9955066321528996e-06,287,4.110314960289107e-06,95,4.429296146395683e-06,23.0
2020-07-14,USDJPY,7.134684021199273e-06,1434,5.634893189875656e-06,287,5.288773959203836e-06,95,3.624814264818146e-06,23.0
2020-07-15,USDJPY,7.672324987169034e-06,1426,7.52260177355295e-06,287,7.1054346347743895e-06,95,6.867612474749644e-06,23.0
2020-07-16,USDJPY,7.848021981905466e-06,1439,8.419907456092032e-06,287,7.300189285561951e-06,95,8.169974952202305e-06,23.0
2020-07-17,USDJPY,5.124344845979524e-06,1256,3.953157588248704e-06,251,3.5039544590464165e-06,83,3.573056867124656e-06,20.0
2020-07-19,USDJPY,9.045951201987665e-07,166,6.133237581863819e-07,33,3.4597624096749204e-07,11,6.086840651232282e-07,2.0
2020-07-20,USDJPY,1.141176582503975e-05,1438,1.314778113095683e-05,287,9.793139798081635e-06,95,5.1874453895646846e-06,23.0
2020-07-21,USDJPY,1.0239167864177141e-05,1434,9.238664482921595e-06,287,5.704816363217378e-06,95,7.974899106279917e-06,23.0
2020-07-22,USDJPY,1.0226921058108465e-05,1425,7.564681682186317e-06,287,7.003114413371755e-06,95,5.061782141408201e-06,23.0
2020-07-23,USDJPY,7.621223674395321e-06,1430,6.044800433179847e-06,287,5.703469508414819e-06,95,6.155456797933905e-06,23.0
2020-07-24,USDJPY,2.1084490465701253e-05,1259,1.839868855252512e-05,251,1.9484193561084514e-05,83,2.9371553347239124e-05,20.0
2020-07-26,USDJPY,2.2783966481133806e-06,178,2.3898691648121734e-06,35,1.9324436076870994e-06,11,3.2051206249927364e-07,2.0
2020-07-27,USDJPY,2.2388317812549908e-05,1435,2.1833878453617017e-05,287,2.0317647801367997e-05,95,1.9812288633431977e-05,23.0
2020-07-28,USDJPY,1.953067601479263e-05,1428,1.7605417060502807e-05,287,2.1212903678555197e-05,95,1.9217644141221393e-05,23.0
2020-07-29,USDJPY,2.3272998376621945e-05,1437,2.3027372645861032e-05,287,2.2523946873810463e-05,95,1.1095896485565949e-05,23.0
2020-07-30,USDJPY,1.8610794285825588e-05,1438,1.655165878076081e-05,287,1.4063887539988736e-05,95,1.2188268538618098e-05,23.0
2020-07-31,USDJPY,4.1837392973225114e-05,1259,3.565535509929453e-05,251,4.187683324423967e-05,83,5.362537663785885e-05,20.0
2020-08-02,USDJPY,2.66381989087017e-06,173,1.719606574204575e-06,35,6.659351154584849e-07,11,7.366131859249041e-07,2.0
2020-08-03,USDJPY,2.9742319565341597e-05,1431,3.110522788346625e-05,287,3.820429225874348e-05,95,3.9493795591069956e-05,23.0
2020-08-04,USDJPY,1.9984944294938078e-05,1426,1.5760775562510784e-05,286,1.663369682836854e-05,95,1.2862132739558394e-05,23.0
2020-08-05,USDJPY,1.9225086156836344e-05,1428,2.0880374043443544e-05,287,1.9537359899778348e-05,95,1.572984185816796e-05,23.0
2020-08-06,USDJPY,1.6590165168846525e-05,1435,1.4942729455250395e-05,287,1.3830855652468351e-05,95,1.4093125697628703e-05,23.0
2020-08-07,USDJPY,1.7639971133075538e-05,1259,1.1463154032668038e-05,251,1.0721156556871734e-05,83,6.8980335494644e-06,20.0
2020-08-09,USDJPY,2.7100603914092953e-06,173,1.9622824674839445e-06,35,1.966490960919929e-06,11,3.254622881809844e-07,2.0
2020-08-10,USDJPY,8.09276895455857e-06,1436,1.0025658493040036e-05,287,9.995728383053654e-06,95,1.1851452985584539e-05,23.0
2020-08-11,USDJPY,1.431613358911555e-05,1438,1.558412749441589e-05,287,1.568079860160753e-05,95,2.2378591742403258e-05,23.0
2020-08-12,USDJPY,1.3774978451343365e-05,1432,1.4158631762463697e-05,287,9.616619550084173e-06,95,6.744368528194845e-06,23.0
2020-08-13,USDJPY,1.2713305401053092e-05,1436,1.1983497675501348e-05,287,1.1735958645548262e-05,95,7.913790588668857e-06,23.0
2020-08-14,USDJPY,8.258872820095263e-06,1259,8.218834015917724e-06,251,6.995897914410307e-06,83,5.040334249913553e-06,20.0
2020-08-16,USDJPY,1.4872312390287725e-06,171,5.479025223355633e-07,34,1.409192020167686e-07,11,1.551162668215173e-07,2.0
2020-08-17,USDJPY,1.0764490884854331e-05,1436,9.651188076016136e-06,287,7.3664125774666615e-06,95,6.567702798149381e-06,23.0
2020-08-18,USDJPY,1.6457144008433598e-05,1428,1.741683104404874e-05,287,1.4452312445636116e-05,95,9.336725099742188e-06,23.0
2020-08-19,USDJPY,2.2393539862871903e-05,1438,2.556069247416171e-05,287,2.805817547534475e-05,95,2.3945714948807386e-05,23.0
2020-08-20,USDJPY,1.594043865241034e-05,1436,1.366480101993656e-05,287,1.042159802900062e-05,95,6.705514491367516e-06,23.0
2020-08-21,USDJPY,1.5094821351186122e-05,1258,1.3856522811447503e-05,251,1.1945312966627254e-05,83,9.43151771953732e-06,20.0
2020-08-23,USDJPY,1.251319306693179e-06,178,1.3494635742311754e-06,35,1.603695709706621e-06,11,1.705276713204215e-06,2.0
2020-08-24,USDJPY,8.830443091854112e-06,1434,8.093232523295291e-06,287,5.778647854159912e-06,95,3.1721032065633943e-06,23.0
2020-08-25,USDJPY,1.3268850170698366e-05,1424,1.2690268574220957e-05,287,9.652346738646762e-06,95,9.01516698325417e-06,23.0
2020-08-26,USDJPY,1.2519309983443634e-05,1436,9.905099801016097e-06,287,1.1002374544889389e-05,95,8.252020598199285e-06,23.0
2020-08-27,USDJPY,2.4531705083028773e-05,1439,2.7884100142159904e-05,287,3.5224966149501474e-05,95,1.6646443329597282e-05,23.0
2020-08-28,USDJPY,5.889989986934901e-05,1259,5.122475195551434e-05,251,4.2784890919728835e-05,83,4.6592664763126575e-05,20.0
2020-08-30,USDJPY,6.96242253764161e-06,175,8.26864942970166e-06,35,1.128867289152266e-05,11,5.2793841564932285e-06,2.0
2020-08-31,USDJPY,2.146285916137034e-05,1427,1.7424846551671795e-05,287,1.5167184174577957e-05,95,1.4044541286080356e-05,23.0
2020-09-01,USDJPY,2.0460160844629147e-05,1426,2.3365619264483565e-05,287,2.002304693572161e-05,95,8.984797772051083e-06,23.0
2020-09-02,USDJPY,1.2565483056569551e-05,1439,1.0767069944220365e-05,287,8.142597600249635e-06,95,7.424394119007163e-06,23.0
2020-09-03,USDJPY,1.3183625128092119e-05,1433,1.310929794182957e-05,287,9.21969738575042e-06,95,7.024834963099511e-06,23.0
2020-09-04,USDJPY,9.240372181881322e-06,1257,6.474064575541194e-06,251,7.473728466702078e-06,83,9.151536742048054e-06,20.0
2020-09-06,USDJPY,6.63639817375793e-07,176,4.600012177709443e-07,35,3.483641699903081e-07,11,2.7845080842197225e-07,2.0
2020-09-07,USDJPY,3.6883567525910227e-06,1427,3.0285905917684486e-06,287,3.4280051976006693e-06,95,2.4129897055133437e-06,23.0
2020-09-08,USDJPY,1.2517678603535119e-05,1438,9.304972822468595e-06,287,1.0556007493685487e-05,95,1.0731437979571569e-05,23.0
2020-09-09,USDJPY,7.319744274559912e-06,1432,7.740544121464974e-06,287,6.102296629757516e-06,95,4.947561137273524e-06,23.0
2020-09-10,USDJPY,7.464984529149731e-06,1437,6.174572792221601e-06,287,5.474101893219296e-06,95,3.0187314490022866e-06,23.0
2020-09-11,USDJPY,4.262055009753995e-06,1253,3.4894691907433473e-06,251,3.3334920133858503e-06,83,2.227146747888868e-06,20.0
2020-09-13,USDJPY,4.0037806839787416e-07,165,2.505898887930715e-07,35,1.1542585219753185e-07,11,1.1763359176808044e-07,2.0
2020-09-14,USDJPY,7.117789722384803e-06,1421,7.653252714817601e-06,287,7.154073089558347e-06,95,8.6442180695437e-06,23.0
2020-09-15,USDJPY,9.14934977485804e-06,1412,7.873415590458339e-06,287,6.556889657900897e-06,95,7.550423913898287e-06,23.0
2020-09-16,USDJPY,2.4161577608588646e-05,1437,1.7772378796026774e-05,287,1.2899236466919225e-05,95,1.280683494455528e-05,23.0
2020-09-17,USDJPY,1.725900308843179e-05,1427,1.5880058463335336e-05,287,1.5861586699938574e-05,95,1.2304696561119503e-05,23.0
2020-09-18,USDJPY,1.3095137095146959e-05,1257,1.2348068971673651e-05,251,1.0460942518032355e-05,83,1.0958189594804706e-05,20.0
2020-09-20,USDJPY,1.265986172635562e-06,177,1.7882942253786311e-06,35,1.2084994053089798e-06,11,3.955154524324977e-07,2.0
2020-09-21,USDJPY,2.1510940169099727e-05,1423,2.3104807917693817e-05,287,1.9610512681027196e-05,95,2.6380652870306833e-05,23.0
